CountryName,CountryCode,IndicatorName,IndicatorCode,Years,Val
Afghanistan,AFG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,80.40733
Afghanistan,AFG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,0.020535484
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,600.0
Afghanistan,AFG,Income share held by fourth 20%,SI.DST.04TH.20,2015,
Afghanistan,AFG,Income share held by highest 20%,SI.DST.05TH.20,2015,
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,2015,
Afghanistan,AFG,Income share held by second 20%,SI.DST.02ND.20,2015,
Afghanistan,AFG,Income share held by third 20%,SI.DST.03RD.20,2015,
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,57.27106807
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2015,34413603.0
Afghanistan,AFG,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Afghanistan,AFG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,
Afghanistan,AFG,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,1.67900002002716
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,2.875
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,
Albania,ALB,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,91.94542
Albania,ALB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,8.402314745
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,4390.0
Albania,ALB,Income share held by fourth 20%,SI.DST.04TH.20,2015,
Albania,ALB,Income share held by highest 20%,SI.DST.05TH.20,2015,
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,2015,
Albania,ALB,Income share held by second 20%,SI.DST.02ND.20,2015,
Albania,ALB,Income share held by third 20%,SI.DST.03RD.20,2015,
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,117.65921829999999
Albania,ALB,"Population, total",SP.POP.TOTL,2015,2880703.0
Albania,ALB,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Albania,ALB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Albania,ALB,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,19.1000003814697
Albania,ALB,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,13.789999961853
Albania,ALB,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,20.3700008392334
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,17.0799999237061
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,17.0799999237061
Albania,ALB,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,40.13100051879879
Albania,ALB,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,39.7999992370605
Algeria,DZA,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,
Algeria,DZA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,5.712209454
Algeria,DZA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,4850.0
Algeria,DZA,Income share held by fourth 20%,SI.DST.04TH.20,2015,
Algeria,DZA,Income share held by highest 20%,SI.DST.05TH.20,2015,
Algeria,DZA,Income share held by lowest 20%,SI.DST.FRST.20,2015,
Algeria,DZA,Income share held by second 20%,SI.DST.02ND.20,2015,
Algeria,DZA,Income share held by third 20%,SI.DST.03RD.20,2015,
Algeria,DZA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,108.80894029999999
Algeria,DZA,"Population, total",SP.POP.TOTL,2015,39728025.0
Algeria,DZA,Poverty gap at national poverty lines (%),SI.POV.NAGP,2015,
Algeria,DZA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Algeria,DZA,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,2015,
Algeria,DZA,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,2015,
Algeria,DZA,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,2015,
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,11.206000328064
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2015,11.2061004638672
Algeria,DZA,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,2015,29.7849998474121
Algeria,DZA,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,2015,29.838699340820302
American Samoa,ASM,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,
American Samoa,ASM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,
American Samoa,ASM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,
American Samoa,ASM,Income share held by fourth 20%,SI.DST.04TH.20,2015,
American Samoa,ASM,Income share held by highest 20%,SI.DST.05TH.20,2015,
American Samoa,ASM,Income share held by lowest 20%,SI.DST.FRST.20,2015,
American Samoa,ASM,Income share held by second 20%,SI.DST.02ND.20,2015,
