CountryName,CountryCode,IndicatorName,IndicatorCode,Years,Val
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,135.13
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2016,
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2017,
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2018,
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2019,
Aruba,ABW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,18.21
Aruba,ABW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2016,
Aruba,ABW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2017,
Aruba,ABW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2018,
Aruba,ABW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2019,
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,23780.0
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2016,23550.0
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2017,23630.0
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2018,
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2019,
Aruba,ABW,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2015,100.0
Aruba,ABW,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2016,100.0
Aruba,ABW,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2017,
Aruba,ABW,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,2018,
