Years,Country,HappinessRank,HappinessScore,Economy,Family,Health,Freedom,Generosity,Trust,DystopiaResidual,CountryCode,Region,IncomeGroup,OECD
2015,afghanistan,153,3.58,0.32,0.3,0.3,0.23,0.37,0.1,1.95,AFG,South Asia,Low income,0
2015,angola,137,4.03,0.76,0.86,0.17,0.1,0.12,0.07,1.95,AGO,Sub-Saharan Africa,Lower middle income,0
2015,albania,95,4.96,0.88,0.8,0.81,0.36,0.14,0.06,1.9,ALB,Europe & Central Asia,Upper middle income,0
2015,united arab emirates,20,6.9,1.43,1.13,0.81,0.64,0.26,0.39,2.25,ARE,Middle East & North Africa,High income,0
2015,argentina,30,6.57,1.05,1.25,0.79,0.45,0.11,0.08,2.84,ARG,Latin America & Caribbean,Upper middle income,0
2015,armenia,127,4.35,0.77,0.78,0.73,0.2,0.08,0.04,1.76,ARM,Europe & Central Asia,Upper middle income,0
2015,australia,10,7.28,1.33,1.31,0.93,0.65,0.44,0.36,2.27,AUS,East Asia & Pacific,High income,1
2015,austria,13,7.2,1.34,1.3,0.89,0.62,0.33,0.19,2.53,AUT,Europe & Central Asia,High income,1
2015,azerbaijan,80,5.21,1.02,0.94,0.64,0.37,0.08,0.16,2.0,AZE,Europe & Central Asia,Upper middle income,0
2015,burundi,157,2.91,0.02,0.42,0.22,0.12,0.2,0.1,1.83,BDI,Sub-Saharan Africa,Low income,0
2015,belgium,19,6.94,1.31,1.29,0.9,0.58,0.22,0.23,2.41,BEL,Europe & Central Asia,High income,1
2015,benin,155,3.34,0.29,0.35,0.32,0.48,0.18,0.08,1.63,BEN,Sub-Saharan Africa,Low income,0
2015,burkina faso,152,3.59,0.26,0.85,0.27,0.39,0.22,0.13,1.46,BFA,Sub-Saharan Africa,Low income,0
2015,bangladesh,109,4.69,0.4,0.43,0.6,0.41,0.21,0.13,2.52,BGD,South Asia,Lower middle income,0
2015,bulgaria,134,4.22,1.01,1.11,0.77,0.31,0.12,0.01,0.9,BGR,Europe & Central Asia,Upper middle income,0
2015,bahrain,49,5.96,1.32,1.22,0.75,0.45,0.17,0.31,1.74,BHR,Middle East & North Africa,High income,0
2015,bosnia and herzegovina,96,4.95,0.83,0.92,0.79,0.09,0.25,0.0,2.06,BIH,Europe & Central Asia,Upper middle income,0
2015,belarus,59,5.81,1.03,1.23,0.74,0.38,0.11,0.19,2.13,BLR,Europe & Central Asia,Upper middle income,0
2015,bolivia,51,5.89,0.68,0.98,0.54,0.57,0.21,0.09,2.82,BOL,Latin America & Caribbean,Lower middle income,0
2015,brazil,16,6.98,0.98,1.23,0.7,0.49,0.15,0.18,3.26,BRA,Latin America & Caribbean,Upper middle income,0
2015,bhutan,79,5.25,0.77,1.1,0.57,0.53,0.48,0.15,1.64,BTN,South Asia,Lower middle income,0
2015,botswana,128,4.33,0.99,1.1,0.05,0.49,0.1,0.12,1.46,BWA,Sub-Saharan Africa,Upper middle income,0
2015,central african republic,148,3.68,0.08,0.0,0.07,0.49,0.24,0.08,2.72,CAF,Sub-Saharan Africa,Low income,0
2015,canada,5,7.43,1.33,1.32,0.91,0.63,0.46,0.33,2.45,CAN,North America,High income,1
2015,switzerland,1,7.59,1.4,1.35,0.94,0.67,0.3,0.42,2.52,CHE,Europe & Central Asia,High income,1
2015,chile,27,6.67,1.11,1.12,0.86,0.44,0.33,0.13,2.68,CHL,Latin America & Caribbean,High income,1
2015,china,84,5.14,0.89,0.95,0.82,0.52,0.08,0.03,1.86,CHN,East Asia & Pacific,Upper middle income,0
2015,côte d'ivoire,151,3.66,0.47,0.77,0.15,0.47,0.2,0.18,1.42,CIV,Sub-Saharan Africa,Lower middle income,0
2015,cameroon,133,4.25,0.42,0.89,0.23,0.49,0.21,0.06,1.95,CMR,Sub-Saharan Africa,Lower middle income,0
